Timeline,Values,Forecast,Confidence Interval
1,142.6131515,,
2,143.515503,,
3,145.544754,,
4,145.556,,
5,146.217499,,
6,145.2157515,,
7,144.441002,,
8,145.1825025,,
9,144.875496,,
10,145.0517505,,
11,143.880249,,
12,143.2367475,,
13,143.8164975,,
14,143.918747,,
15,144.308174,,
16,142.6554945,,
17,138.2077485,,
18,139.858551,,
19,140.527626,,
20,141.674477,,
21,141.8769985,,
22,141.5,,
23,137.6532515,,
24,135.8242495,,
25,134.294998,,
26,135.2242505,,
27,133.4332505,,
28,135.681,,
29,136.1692505,,
30,139.3587265,,
31,139.8731765,,
32,139.78508,,
33,137.9725035,,
34,137.763252,,
35,140.495255,,
36,141.632248,,
37,142.106125,,
38,143.601494,,
39,143.07988,,
40,142.243248,,
41,139.364502,,
42,137.97715,,
43,139.922493,,
44,144.510246,,
45,146.094002,,
46,146.8897555,,
47,145.989502,,
48,145.780754,,
49,145.982002,,
50,148.292496,,
51,149.611374,,
52,150.0772475,,
53,148.942749,,
54,147.012497,,
55,147.5983735,,
56,148.156746,,
57,149.5647505,,
58,149.091255,,
59,149.0945055,,
60,150.304253,,
61,150.8687515,,
62,148.875,,
63,146.291748,,
64,146.0995025,,
65,143.8912505,,
66,145.580246,,
67,144.347244,,
68,143.999573,,
69,142.828499,,
70,143.1814955,,
71,142.499252,,
72,147.001251,,
73,148.1782455,,
74,148.5670015,,
75,148.378746,,
76,147.4612505,,
77,143.842247,,
78,145.1113735,,
79,146.3219985,,
80,143.124046,,
81,141.430252,,
82,143.213524,,
83,145.6329955,,
84,147.761726,,
85,147.838249,,
86,147.1549985,,
87,146.3441235,,
88,146.4104995,,
89,145.521255,,
90,144.5262525,,
91,145.213074,,
92,140.9107515,,
93,138.2247545,,
94,137.021873,,
95,135.890251,,
96,138.5715025,,
97,141.9631275,,
98,141.049751,,
99,139.35025,,
100,136.5042495,,
101,136.949753,,
102,135.528252,,
103,132.3807525,,
104,127.710228,,
105,127.8582495,,
106,129.980499,,
107,130.777481,,
108,131.0325015,,
109,134.058754,,
110,136.384125,,
111,148.8287505,,
112,145.661354,,
113,142.1763765,,
114,141.272751,,
115,138.355049,,
116,141.276253,,
117,139.7405015,,
118,136.2858735,,
119,134.734253,,
120,136.7197495,,
121,136.3848265,,
122,134.5207445,,
123,132.065529,,
124,129.820877,,
125,129.6262475,,
126,128.900753,,
127,133.5770035,,
128,134.2328795,,
129,134.744743,,
130,134.5239945,,
131,135.072403,,
132,132.303749,,
133,129.1570055,,
134,128.553627,,
135,132.1432495,,
136,132.4697495,,
137,132.2482455,,
138,128.7195015,,
139,128.5426215,,
140,131.486,,
141,133.729248,,
142,134.9227525,,
143,136.097,,
144,139,,
145,139.095749,,
146,139.717949,,
147,140.829498,,
148,140.9023285,,
149,143.32325,,
150,142.824249,,
151,141.131752,,
152,139.873497,,
153,142.43412,,
154,142.2667465,,
155,138.1333005,,
156,136.279381,,
157,135.001251,,
158,131.2783435,,
159,129.999744,,
160,129.5471725,,
161,128.9108775,,
162,127.6452295,,
163,129.177624,,
164,129.9087715,,
165,127.4787485,,
166,122.296253,,
167,121.0236245,,
168,120.955925,,
169,115.312126,,
170,117.7911985,,
171,116.8269995,,
172,115.369499,,
173,117.963501,,
174,119.4407505,,
175,118.207878,,
176,115.8207475,,
177,114.0571975,,
178,115.0371515,,
179,115.1605,,
180,112.485001,,
181,116.0424995,,
182,115.4712485,,
183,116.2825015,,
184,113.918823,,
185,112.027752,,
186,109.461502,,
187,110.579876,,
188,104.3014985,,
189,105.3779755,,
190,107.2216265,,
191,111.2089995,,
192,114.503002,,
193,115.4747505,,
194,115.603001,,
195,115.0162505,,
196,117.963398,,
197,116.437077,,
198,117.6713755,,
199,116.6084975,,
200,112.179001,,
201,107.9032745,,
202,107.404747,,
203,110.090878,,
204,107.5415,,
205,107.439022,,
206,110.98325,,
207,112.246899,,
208,112.112751,,
209,116.120247,,
210,117.625374,,
211,115.1502495,,
212,112.609249,,
213,109.3199005,,
214,108.455677,,
215,110.1510465,,
216,114.3012505,,
217,117.6979985,,
218,118.974499,,
219,117.5144995,,
220,116.2322505,,
221,113.489998,,
222,110.6565015,,
223,112.911503,,
224,112.050003,,
225,112.654999,,
226,114.795002,,
227,113.5600015,,
228,110.389999,,
229,108.795002,,
230,106.25,,
231,111.41,,
232,113.2754975,,
233,115.0650025,,
234,115.9050025,,
235,115.670002,,
236,117.785,,
237,118.6049995,,
238,117.785,,
239,119.3450015,,
240,117.3799975,,
241,120.57,,
242,120.9449995,,
243,121.525002,,
244,122.415001,,
245,122.3815005,,
246,121.1749995,,
247,120.6200025,,
248,118.834999,,
249,115.584999,,
250,115.1150015,,
251,114.748501,,
252,116.415001,,
253,,116.936914,5.074245019
254,,117.3186234,6.830094013
255,,116.4577615,8.221850736
256,,116.2298831,9.412435917
257,,115.9396976,10.47070183
258,,114.8232896,11.43345188
259,,114.9314567,12.32309524
260,,111.4560774,13.15447498
261,,108.6604017,13.93802282
262,,107.4941972,14.6814009
263,,106.1796038,15.39043275
264,,107.9437716,16.06966692
265,,111.8156505,16.72273627
266,,111.3197083,17.35259668
267,,110.0725868,17.96169136
268,,107.0629737,18.55206712
269,,106.7546057,19.12545887
270,,105.9792093,19.68335224
271,,103.6783413,20.22703096
272,,98.77920634,20.75761321
273,,98.77420701,21.27608004
274,,100.5007282,21.78329771
275,,101.3865756,22.28003569
276,,101.8100815,22.76698105
277,,104.1913753,23.24475034
278,,106.6535905,23.71389928
279,,117.0370648,24.17493079
280,,116.9304658,24.6283018
281,,113.4848231,25.07442887
282,,112.6361974,25.513693
283,,109.6473234,25.94644375
284,,111.1218644,26.37300273
285,,110.0109258,26.79366662
286,,107.4621541,27.20870981
287,,106.2421961,27.61838661
288,,106.9827855,28.02293331
289,,107.0384304,28.42256988
290,,105.9285493,28.81750147
291,,103.2980315,29.20791984
292,,100.8174152,29.59400447
293,,100.4802727,29.97592368
294,,97.62450976,30.35383554
295,,99.66469039,30.72788875
296,,102.1855277,31.09822337
297,,103.3825136,31.46497153
298,,104.0468232,31.828258
299,,104.2622562,32.18820081
300,,103.1970696,32.54491167
