Date,Days,High,Low,Average
26-08-2021,1,143.134796,142.091507,142.6131515
27-08-2021,2,145.011002,142.020004,143.515503
30-08-2021,3,146.489502,144.600006,145.544754
31-08-2021,4,146.112,145,145.556
01-09-2021,5,146.820496,145.614502,146.217499
02-09-2021,6,146.324997,144.106506,145.2157515
03-09-2021,7,145.376999,143.505005,144.441002
07-09-2021,8,145.824005,144.541,145.1825025
08-09-2021,9,145.550995,144.199997,144.875496
09-09-2021,10,145.669495,144.434006,145.0517505
10-09-2021,11,146.018997,141.741501,143.880249
13-09-2021,12,144.190994,142.282501,143.2367475
14-09-2021,13,144.727493,142.905502,143.8164975
15-09-2021,14,145.581497,142.255997,143.918747
16-09-2021,15,145.199997,143.416351,144.308174
17-09-2021,16,144.249496,141.061493,142.6554945
20-09-2021,17,139.362503,137.052994,138.2077485
21-09-2021,18,140.8116,138.905502,139.858551
22-09-2021,19,141.583496,139.471756,140.527626
23-09-2021,20,142.252457,141.096497,141.674477
24-09-2021,21,142.903503,140.850494,141.8769985
27-09-2021,22,142.5,140.5,141.5
28-09-2021,23,139.606506,135.699997,137.6532515
29-09-2021,24,137.398499,134.25,135.8242495
30-09-2021,25,135.589996,133,134.294998
01-10-2021,26,137.070999,133.377502,135.2242505
04-10-2021,27,135.699997,131.166504,133.4332505
05-10-2021,28,137.362,134,135.681
06-10-2021,29,137.852005,134.486496,136.1692505
07-10-2021,30,140.154449,138.563004,139.3587265
08-10-2021,31,140.317001,139.429352,139.8731765
11-10-2021,32,140.763657,138.806503,139.78508
12-10-2021,33,139.695007,136.25,137.9725035
13-10-2021,34,138.550003,136.976501,137.763252
14-10-2021,35,141.651505,139.339005,140.495255
15-10-2021,36,142.199997,141.064499,141.632248
18-10-2021,37,142.998749,141.213501,142.106125
19-10-2021,38,144.106995,143.095993,143.601494
20-10-2021,39,144.247757,141.912003,143.07988
21-10-2021,40,142.849503,141.636993,142.243248
22-10-2021,41,141.558502,137.170502,139.364502
25-10-2021,42,139.205795,136.748505,137.97715
26-10-2021,43,140.839493,139.005493,139.922493
27-10-2021,44,149.117996,139.902496,144.510246
28-10-2021,45,147.4245,144.763504,146.094002
29-10-2021,46,148.613007,145.166504,146.8897555
01-11-2021,47,148.399506,143.579498,145.989502
02-11-2021,48,146.920502,144.641006,145.780754
03-11-2021,49,146.910507,145.053497,145.982002
04-11-2021,50,149.949997,146.634995,148.292496
05-11-2021,51,150.570755,148.651993,149.611374
08-11-2021,52,151.0345,149.119995,150.0772475
09-11-2021,53,150.378494,147.507004,148.942749
10-11-2021,54,148.699997,145.324997,147.012497
11-11-2021,55,148.502243,146.694504,147.5983735
12-11-2021,56,149.859497,146.453995,148.156746
15-11-2021,57,150.477005,148.652496,149.5647505
16-11-2021,58,149.832504,148.350006,149.091255
17-11-2021,59,149.626007,148.563004,149.0945055
18-11-2021,60,151.610001,148.998505,150.304253
19-11-2021,61,151.850006,149.887497,150.8687515
22-11-2021,62,150.744507,147.005493,148.875
23-11-2021,63,147.694,144.889496,146.291748
24-11-2021,64,147,145.199005,146.0995025
26-11-2021,65,145.296997,142.485504,143.8912505
29-11-2021,66,146.862,144.298492,145.580246
30-11-2021,67,146.628494,142.065994,144.347244
01-12-2021,68,146.499146,141.5,143.999573
02-12-2021,69,144.675003,140.981995,142.828499
03-12-2021,70,145.212997,141.149994,143.1814955
06-12-2021,71,144.351501,140.647003,142.499252
07-12-2021,72,148.300003,145.702499,147.001251
08-12-2021,73,149.156494,147.199997,148.1782455
09-12-2021,74,149.604996,147.529007,148.5670015
10-12-2021,75,149.399994,147.357498,148.378746
13-12-2021,76,148.5625,146.360001,147.4612505
14-12-2021,77,145.442001,142.242493,143.842247
15-12-2021,78,147.517242,142.705505,145.1113735
16-12-2021,79,148.551498,144.092499,146.3219985
17-12-2021,80,144.460098,141.787994,143.124046
20-12-2021,81,142.610504,140.25,141.430252
21-12-2021,82,144.692047,141.735001,143.213524
22-12-2021,83,147.302994,143.962997,145.6329955
23-12-2021,84,148.572601,146.950851,147.761726
27-12-2021,85,148.426498,147.25,147.838249
28-12-2021,86,148.374496,145.935501,147.1549985
29-12-2021,87,147.183746,145.504501,146.3441235
30-12-2021,88,147.0625,145.758499,146.4104995
31-12-2021,89,146.365005,144.677505,145.521255
03-01-2022,90,145.550003,143.502502,144.5262525
04-01-2022,91,146.610001,143.816147,145.213074
05-01-2022,92,144.298004,137.523499,140.9107515
06-01-2022,93,139.686005,136.763504,138.2247545
07-01-2022,94,138.254745,135.789001,137.021873
10-01-2022,95,138.639999,133.140503,135.890251
11-01-2022,96,140.329498,136.813507,138.5715025
12-01-2022,97,142.814255,141.112,141.9631275
13-01-2022,98,143.185501,138.914001,141.049751
14-01-2022,99,141.2005,137.5,139.35025
18-01-2022,100,137.391495,135.617004,136.5042495
19-01-2022,101,138.399506,135.5,136.949753
20-01-2022,102,137.912003,133.144501,135.528252
21-01-2022,103,134.760498,130.001007,132.3807525
24-01-2022,104,130.778503,124.641953,127.710228
25-01-2022,105,129.338501,126.377998,127.8582495
26-01-2022,106,132.807495,127.153503,129.980499
27-01-2022,107,132.609955,128.945007,130.777481
28-01-2022,108,133.370499,128.694504,131.0325015
31-01-2022,109,135.843506,132.274002,134.058754
01-02-2022,110,138.199997,134.568253,136.384125
02-02-2022,111,152.100006,145.557495,148.8287505
03-02-2022,112,149.117706,142.205002,145.661354
04-02-2022,113,144.535248,139.817505,142.1763765
07-02-2022,114,143.846497,138.699005,141.272751
08-02-2022,115,139.837097,136.873001,138.355049
09-02-2022,116,142.175507,140.376999,141.276253
10-02-2022,117,141.431,138.050003,139.7405015
11-02-2022,118,139.283249,133.288498,136.2858735
14-02-2022,119,136.166504,133.302002,134.734253
15-02-2022,120,137.899994,135.539505,136.7197495
16-02-2022,121,137.945999,134.823654,136.3848265
17-02-2022,122,136.839493,132.201996,134.5207445
18-02-2022,123,133.824005,130.307053,132.065529
22-02-2022,124,131.900757,127.740997,129.820877
23-02-2022,125,131.748993,127.503502,129.6262475
24-02-2022,126,133.037003,124.764503,128.900753
25-02-2022,127,135.389008,131.764999,133.5770035
28-02-2022,128,135.640503,132.825256,134.2328795
01-03-2022,129,136.110992,133.378494,134.744743
02-03-2022,130,135.615494,133.432495,134.5239945
03-03-2022,131,136.713806,133.431,135.072403
04-03-2022,132,134.199005,130.408493,132.303749
07-03-2022,133,131.904007,126.410004,129.1570055
08-03-2022,134,131.246506,125.860748,128.553627
09-03-2022,135,134.198502,130.087997,132.1432495
10-03-2022,136,133.538498,131.401001,132.4697495
11-03-2022,137,134.199997,130.296494,132.2482455
14-03-2022,138,131.026001,126.413002,128.7195015
15-03-2022,139,130.517242,126.568001,128.5426215
16-03-2022,140,133.770996,129.201004,131.486
17-03-2022,141,134.739502,132.718994,133.729248
18-03-2022,142,136.913498,132.932007,134.9227525
21-03-2022,143,137.582504,134.611496,136.097
22-03-2022,144,141.5,136.5,139
23-03-2022,145,140.024994,138.166504,139.095749
24-03-2022,146,141.3965,138.039398,139.717949
25-03-2022,147,141.959503,139.699493,140.829498
28-03-2022,148,141.976501,139.828156,140.9023285
29-03-2022,149,144.162506,142.483994,143.32325
30-03-2022,150,143.480499,142.167999,142.824249
31-03-2022,151,142.644501,139.619003,141.131752
01-04-2022,152,140.949997,138.796997,139.873497
04-04-2022,153,144.043747,140.824493,142.43412
05-04-2022,154,143.589996,140.943497,142.2667465
06-04-2022,155,139.848495,136.418106,138.1333005
07-04-2022,156,137.701508,134.857254,136.279381
08-04-2022,157,136.25,133.752502,135.001251
11-04-2022,158,132.939194,129.617493,131.2783435
12-04-2022,159,132.423492,127.575996,129.999744
13-04-2022,160,130.655746,128.438599,129.5471725
14-04-2022,161,130.710251,127.111504,128.9108775
18-04-2022,162,128.712006,126.578453,127.6452295
19-04-2022,163,130.903748,127.4515,129.177624
20-04-2022,164,131.923492,127.894051,129.9087715
21-04-2022,165,130.307495,124.650002,127.4787485
22-04-2022,166,125.452003,119.140503,122.296253
25-04-2022,167,123.278,118.769249,121.0236245
26-04-2022,168,122.75,119.16185,120.955925
27-04-2022,169,117.5,113.124252,115.312126
28-04-2022,170,120.438499,115.143898,117.7911985
29-04-2022,171,118.959999,114.694,116.8269995
02-05-2022,172,117.3395,113.399498,115.369499
03-05-2022,173,119.300003,116.626999,117.963501
04-05-2022,174,123.142998,115.738503,119.4407505
05-05-2022,175,121.233253,115.182503,118.207878
06-05-2022,176,117.498497,114.142998,115.8207475
09-05-2022,177,115.562897,112.551498,114.0571975
10-05-2022,178,116.691002,113.383301,115.0371515
11-05-2022,179,116.670998,113.650002,115.1605
12-05-2022,180,114.856499,110.113503,112.485001
13-05-2022,181,118.084999,114,116.0424995
16-05-2022,182,116.607498,114.334999,115.4712485
17-05-2022,183,117.227501,115.337502,116.2825015
18-05-2022,184,115.695648,112.141998,113.918823
19-05-2022,185,113.587502,110.468002,112.027752
20-05-2022,186,112.550003,106.373001,109.461502
23-05-2022,187,112.005501,109.154251,110.579876
24-05-2022,188,106.394997,102.208,104.3014985
25-05-2022,189,106.544701,104.21125,105.3779755
26-05-2022,190,108.955254,105.487999,107.2216265
27-05-2022,191,112.867996,109.550003,111.2089995
31-05-2022,192,116.433502,112.572502,114.503002
01-06-2022,193,117.399002,113.550499,115.4747505
02-06-2022,194,117.898003,113.307999,115.603001
03-06-2022,195,116.364502,113.667999,115.0162505
06-06-2022,196,119.398499,116.528297,117.963398
07-06-2022,197,117.74865,115.125504,116.437077
08-06-2022,198,118.646004,116.696747,117.6713755
09-06-2022,199,118.349998,114.866997,116.6084975
10-06-2022,200,113.497002,110.861,112.179001
13-06-2022,201,109.218498,106.588051,107.9032745
14-06-2022,202,108.457497,106.351997,107.404747
15-06-2022,203,112.063004,108.118752,110.090878
16-06-2022,204,109.290497,105.792503,107.5415
17-06-2022,205,109.249496,105.628548,107.439022
21-06-2022,206,112.672997,109.293503,110.98325
22-06-2022,207,113.769501,110.724297,112.246899
23-06-2022,208,113.196503,111.028999,112.112751
24-06-2022,209,118.637497,113.602997,116.120247
27-06-2022,210,119.25,116.000748,117.625374
28-06-2022,211,117.856499,112.444,115.1502495
29-06-2022,212,113.664497,111.554001,112.609249
30-06-2022,213,111.329803,107.309998,109.3199005
01-07-2022,214,109.806351,107.105003,108.455677
05-07-2022,215,114.052597,106.249496,110.1510465
06-07-2022,216,116.351997,112.250504,114.3012505
07-07-2022,217,119.862,115.533997,117.6979985
08-07-2022,218,120.434998,117.514,118.974499
11-07-2022,219,118.794502,116.234497,117.5144995
12-07-2022,220,117.849503,114.614998,116.2322505
13-07-2022,221,115.156998,111.822998,113.489998
14-07-2022,222,111.987503,109.3255,110.6565015
15-07-2022,223,114.000504,111.822502,112.911503
18-07-2022,224,114.800003,109.300003,112.050003
19-07-2022,225,114.809998,110.5,112.654999
20-07-2022,226,116.330002,113.260002,114.795002
21-07-2022,227,115.209999,111.910004,113.5600015
22-07-2022,228,113.18,107.599998,110.389999
25-07-2022,229,110.580002,107.010002,108.795002
26-07-2022,230,107.739998,104.760002,106.25
27-07-2022,231,114.400002,108.419998,111.41
28-07-2022,232,114.699997,111.850998,113.2754975
29-07-2022,233,116.900002,113.230003,115.0650025
01-08-2022,234,117.120003,114.690002,115.9050025
02-08-2022,235,117.080002,114.260002,115.670002
03-08-2022,236,119.419998,116.150002,117.785
04-08-2022,237,119.5,117.709999,118.6049995
05-08-2022,238,118.860001,116.709999,117.785
08-08-2022,239,120.860001,117.830002,119.3450015
09-08-2022,240,118.199997,116.559998,117.3799975
10-08-2022,241,121.779999,119.360001,120.57
11-08-2022,242,122.339996,119.550003,120.9449995
12-08-2022,243,122.650002,120.400002,121.525002
15-08-2022,244,123.260002,121.57,122.415001
16-08-2022,245,123.227997,121.535004,122.3815005
17-08-2022,246,122.150002,120.199997,121.1749995
18-08-2022,247,121.690002,119.550003,120.6200025
19-08-2022,248,120,117.669998,118.834999
22-08-2022,249,116.5,114.669998,115.584999
23-08-2022,250,115.93,114.300003,115.1150015
24-08-2022,251,115.717003,113.779999,114.748501
25-08-2022,252,117.779999,115.050003,116.415001
26-08-2022,253,,,
27-08-2022,254,,,
28-08-2022,255,,,
29-08-2022,256,,,
30-08-2022,257,,,
31-08-2022,258,,,
01-09-2022,259,,,
02-09-2022,260,,,
03-09-2022,261,,,
04-09-2022,262,,,
05-09-2022,263,,,
06-09-2022,264,,,
07-09-2022,265,,,
08-09-2022,266,,,
09-09-2022,267,,,
10-09-2022,268,,,
11-09-2022,269,,,
12-09-2022,270,,,
13-09-2022,271,,,
14-09-2022,272,,,
15-09-2022,273,,,
16-09-2022,274,,,
17-09-2022,275,,,
18-09-2022,276,,,
19-09-2022,277,,,
20-09-2022,278,,,
21-09-2022,279,,,
22-09-2022,280,,,
23-09-2022,281,,,
24-09-2022,282,,,
25-09-2022,283,,,
26-09-2022,284,,,
27-09-2022,285,,,
28-09-2022,286,,,
29-09-2022,287,,,
30-09-2022,288,,,
01-10-2022,289,,,
02-10-2022,290,,,
03-10-2022,291,,,
04-10-2022,292,,,
05-10-2022,293,,,
06-10-2022,294,,,
07-10-2022,295,,,
08-10-2022,296,,,
09-10-2022,297,,,
10-10-2022,298,,,
11-10-2022,299,,,
12-10-2022,300,,,
13-10-2022,301,,,
14-10-2022,302,,,
15-10-2022,303,,,
16-10-2022,304,,,
17-10-2022,305,,,
18-10-2022,306,,,
19-10-2022,307,,,
20-10-2022,308,,,
21-10-2022,309,,,
22-10-2022,310,,,
23-10-2022,311,,,
24-10-2022,312,,,
25-10-2022,313,,,
26-10-2022,314,,,
27-10-2022,315,,,
28-10-2022,316,,,
29-10-2022,317,,,
30-10-2022,318,,,
31-10-2022,319,,,
01-11-2022,320,,,
02-11-2022,321,,,
03-11-2022,322,,,
04-11-2022,323,,,
05-11-2022,324,,,
06-11-2022,325,,,
07-11-2022,326,,,
08-11-2022,327,,,
09-11-2022,328,,,
10-11-2022,329,,,
11-11-2022,330,,,
12-11-2022,331,,,
13-11-2022,332,,,
14-11-2022,333,,,
15-11-2022,334,,,
16-11-2022,335,,,
17-11-2022,336,,,
18-11-2022,337,,,
19-11-2022,338,,,
20-11-2022,339,,,
21-11-2022,340,,,
22-11-2022,341,,,
23-11-2022,342,,,
24-11-2022,343,,,
25-11-2022,344,,,
